title,author,address,lat,lng,description
The Day of the Locust,Nathanael West,"Hollywood Boulevard, Los Angeles, CA",34.1016,-118.3346,Novel exploring the dark side of Hollywood in the 1930s.
Less Than Zero,Bret Easton Ellis,"Beverly Hills, Los Angeles, CA",34.103,-118.4108,"Novel depicting the lives of wealthy, disillusioned teenagers in Beverly Hills."
The Long Goodbye,Raymond Chandler,"Mulholland Drive, Los Angeles, CA",34.1184,-118.3502,Iconic Los Angeles location often mentioned in Chandler's novels.
City of Night,John Rechy,"Pershing Square, Los Angeles, CA",34.0497,-118.2539,Novel exploring the underground nightlife of 1960s Los Angeles.
Play It As It Lays,Joan Didion,"Rodeo Drive, Beverly Hills, Los Angeles, CA",34.103,-118.4108,Novel capturing the essence of life in Hollywood and its disillusionments.
The Black Dahlia,James Ellroy,"South Hill Street, Los Angeles, CA",34.0444,-118.2508,Crime novel inspired by a real-life murder in 1940s Los Angeles.
A Moveable Feast,Ernest Hemingway,"27 Rue de Fleurus, Paris, France",48.8534,2.3386,"Hemingway's apartment in Paris, where he wrote part of his memoir about life in 1920s Paris."
Les Misérables,Victor Hugo,"6 Place des Vosges, Paris, France",48.8553,2.3636,"Victor Hugo's home in Paris, where he wrote part of 'Les Misérables'."
In Search of Lost Time,Marcel Proust,"102 Boulevard Haussmann, Paris, France",48.8708,2.3025,"Proust's family home, which inspired scenes in his monumental work."
L'Élégance du hérisson,Muriel Barbery,"7 rue de Grenelle, Paris 7e, France",48.8551,2.3251,The exact address given in the novel's opening lines as the building where Renée and Paloma live.
Dora Bruder,Patrick Modiano,"41 boulevard Ornano, Paris 18e, France",48.8949,2.3454,The real 1941 missing-person ad Modiano found gives this precise address as Dora Bruder's home.
Monsieur Ibrahim et les fleurs du Coran,Éric-Emmanuel Schmitt,"Rue Bleue, Paris 9e, France",48.8752,2.3459,The real Paris street explicitly named as the setting of Monsieur Ibrahim's grocery and Moïse's childhood.
The Da Vinci Code,Dan Brown,"Rue La Bruyère, Paris 9e, France (fictional Opus Dei residence)",48.8788,2.3348,The real street on which the novel places its (invented) Opus Dei building where Silas lodges.
No et moi,Delphine de Vigan,"Gare d Austerlitz, Paris, France",48.842,2.365,Lieu fréquenté par No.
Vernon Subutex,Virginie Despentes,"Place de la République, Paris, France",48.867,2.363,Lieu central des déambulations.
La Délicatesse,David Foenkinos,"Rue de Turbigo, Paris, France",48.866,2.356,Cadre parisien du récit.
Une histoire d’amour,Yann Andréa,"Paris Hôtel Lutetia, Paris",48.851,2.325,Cadre de scènes du roman.
La Plus Secrète Mémoire des hommes,Mohamed Mbougar Sarr,"Rue des Écoles, Paris",48.849,2.345,Une partie importante de l intrigue s y déroule.
La carte et le territoire,Michel Houellebecq,"Rue de Rennes, Paris",48.847,2.327,Cadre parisien récurrent.
1984,George Orwell,"50 Lawford Road, Kentish Town, London, UK",51.5554,-0.1381,"Orwell's home in London, where he wrote parts of '1984' and 'Animal Farm'."
Oliver Twist,Charles Dickens,"48 Doughty Street, London, UK (Charles Dickens Museum)",51.5238,-0.1188,"Dickens' home in London, now a museum dedicated to his life and work."
Mrs. Dalloway,Virginia Woolf,"46 Gordon Square, London, UK",51.5245,-0.1278,"Woolf's home in London, part of the Bloomsbury Group's meeting places."
A Little Life,Hanya yanagihara,"93 Harley St, London W1G 6AD, Royaume-Uni",51.52079041319476,-0.147798,Where Willem and Jude had an appartment. 
The Beat Generation,Jack Kerouac,"29 Russell Street, San Francisco, CA",37.7955,-122.4064,"Kerouac spent time in San Francisco, a key city for the Beat movement."
Tales of the City,Armistead Maupin,"28 Barbary Lane, San Francisco, CA (fictional)",37.7955,-122.4064,Fictional address from the iconic series about life in 1970s San Francisco.
The Joy Luck Club,Amy Tan,"Chinatown, San Francisco, CA",37.7942,-122.4075,The novel explores the lives of Chinese-American women in San Francisco's Chinatown.
Dubliners,James Joyce,"7 Eccles Street, Dublin, Ireland",53.3561,-6.2625,"Fictional address from Joyce's short story collection, inspired by Dublin."
Ulysses,James Joyce,"Sandycove, Dublin, Ireland (Martello Tower)",53.3056,-6.1083,"Setting for the opening scene of 'Ulysses', where Stephen Dedalus lives."
The Picture of Dorian Gray,Oscar Wilde,"16 Tite Street, London, UK",51.4936,-0.1406,"Wilde's home in London, where he wrote some of his most famous works."
Norwegian Wood,Haruki Murakami,"Shimokitazawa, Tokyo, Japan",35.6667,139.6997,A neighborhood in Tokyo that inspired scenes in Murakami's novel.
The Wind-Up Bird Chronicle,Haruki Murakami,"Setagaya, Tokyo, Japan",35.6466,139.6506,A suburb of Tokyo where the protagonist of the novel lives.
Smilla's Sense of Snow,Peter Høeg,"Christianshavn, Copenhagen, Denmark",55.6738,12.5943,The real Copenhagen district named in the novel as Smilla's neighborhood.
The Copenhagen Trilogy - Childhood,Tove Ditlevsen,"Istedgade, Copenhaguen, Denmark ",55.67002543237503,12.555831939147373,Where the author was born
The Copenhagen Trilogy - Childhood,Tove Ditlevsen,"Hedebygade, Copenhaguen, Denmark ",55.66933593692181,12.544254712159791,
The Aleph,Jorge Luis Borges,"Calle Garay, Buenos Aires, Argentina",-34.6152,-58.3961,The street Borges names in the story as the location of Carlos Argentino Daneri's house and its fateful cellar.
The Feast of the Goat,Mario Vargas Llosa,"Avenida George Washington (El Malecón), Santo Domingo, Dominican Republic",18.4655,-69.9019,The real seafront avenue where the novel dramatizes the historical assassination of dictator Trujillo.
The Time of the Hero,Mario Vargas Llosa,"Colegio Militar Leoncio Prado, Av. La Costanera 1541, La Perla, Callao, Peru",-12.0698,-77.1372,The real military school explicitly named as the novel's central setting.
City of God,Paulo Lins,"Cidade de Deus, Rio de Janeiro, Brazil",-22.9464,-43.3644,The real housing complex that is both the title and literal setting of the novel.
The Cairo Trilogy,Naguib Mahfouz,"Bayn al-Qasrayn, Al-Muizz Street, Al-Gamaleya, Cairo, Egypt",30.0503,31.2617,The real historic street named in the text as the al-Jawad family's neighborhood.
Palace Walk,Naguib Mahfouz,"Bayn al-Qasrayn, Al-Muizz Street, Al-Gamaleya, Cairo, Egypt",30.05,31.26,The real Cairo street (its English name gives the novel its title) where the family home is set.
The Yacoubian Building,Alaa Al Aswany,"No. 34 Talaat Harb Street, Downtown Cairo, Egypt",30.0472,31.2406,The real Art Deco building explicitly named as the novel's central setting.
The Kite Runner,Khaled Hosseini,"Wazir Akbar Khan, Kabul, Afghanistan",34.5384,69.1897,"The real, affluent Kabul neighborhood explicitly named as Baba and Amir's home."
My Name is Red,Orhan Pamuk,"Topkapı Palace workshop, Istanbul, Turkey",41.0115,28.9833,The real Ottoman palace workshop where the novel's miniaturist painters are employed.
Gate of the Sun,Elias Khoury,"Shatila refugee camp, Beirut, Lebanon",33.8608,35.4989,"The real Palestinian refugee camp where the novel's storytelling is framed, in a clinic bed."
Crime and Punishment,Fyodor Dostoevsky,"Corner of Stolyarny Lane and Grazhdanskaya Street, Saint Petersburg, Russia",59.928,30.3141,Identified from the novel's veiled street names ('S. Place') as Raskolnikov's attic lodging.
War and Peace,Leo Tolstoy,"Bald Hills / Lysye Gory (fictional estate, modeled on Yasnaya Polyana, Tula Oblast, Russia)",54.0761,37.5237,"The Bolkonsky family estate is invented, closely modeled on Tolstoy's own Yasnaya Polyana."
Doctor Zhivago,Boris Pasternak,"Yuriatin and Varykino (fictional, modeled on the Perm region, Russia)",58.0105,56.2502,"Both towns are invented; no real address exists, though they draw on the real Ural region of Perm."
The Good Soldier Švejk,Jaroslav Hašek,"Na Bojišti 12, Prague 2, Czech Republic",50.0765,14.4341,"U Kalicha, the real Prague tavern explicitly named as the novel's opening setting."
The Tin Drum,Günter Grass,"Labesweg (today ul. Lelewela), Danzig-Langfuhr (Gdańsk-Wrzeszcz), Poland",54.3697,18.6259,"The real street, under its wartime German name, explicitly given as Oskar Matzerath's family home."
Hunger,Knut Hamsun,"Karl Johans gate, Kristiania (Oslo), Norway",59.9139,10.7378,"The real central street the starving narrator repeatedly wanders, named directly in the text."
The Girl with the Dragon Tattoo,Stieg Larsson,"Bellmansgatan 1, Södermalm, Stockholm, Sweden",59.3208,18.0645,The exact address Stieg Larsson's text gives for journalist Mikael Blomkvist's apartment.
Leurs enfants après eux,Nicolas Mathieu,"Lac de la Madine, Nonsard, France",48.992,5.701,Lieu emblématique du roman.
Yoga,Emmanuel Carrère,"Île de Patmos, Grèce",37.308,26.548,Lieu important du récit.
